 # Resultados apartado 1:
  0.000000000000E+00  0.571622698984E+00  0.542876962255E+00
  0.628318563104E-01  0.605732666270E+00  0.108468268072E+01
  0.125663712621E+00  0.707927951659E+00  0.216508480605E+01
  0.188495576382E+00  0.877805261137E+00  0.323694194657E+01
  0.251327425241E+00  0.111469409420E+01  0.429602403803E+01
  0.314159274101E+00  0.141765959126E+01  0.533815345359E+01
  0.376991152763E+00  0.178550627572E+01  0.635921435223E+01
  0.439823001623E+00  0.221678207612E+01  0.735517683130E+01
  0.502654850483E+00  0.270978510332E+01  0.832211525504E+01
  0.565486729145E+00  0.326256997592E+01  0.925620571166E+01
  0.628318548203E+00  0.387295427783E+01  0.101537687711E+02
  0.691150426865E+00  0.453853025680E+01  0.110112643308E+02
  0.753982305527E+00  0.525667063428E+01  0.118252930551E+02
  0.816814124584E+00  0.602454048493E+01  0.125926583249E+02
  0.879646003246E+00  0.683911083115E+01  0.133103254285E+02
  0.942477822304E+00  0.769716539446E+01  0.139754634206E+02
  0.100530970097E+01  0.859531945017E+01  0.145854532316E+02
  0.106814157963E+01  0.953002759780E+01  0.151378745578E+02
  0.113097345829E+01  0.104976009683E+02  0.156305383138E+02
  0.119380521774E+01  0.114942190726E+02  0.160615302632E+02
  0.125663709641E+01  0.125159524915E+02  0.164291498854E+02
  0.131946897507E+01  0.135587670424E+02  0.167319162685E+02
  0.138230085373E+01  0.146185472091E+02  0.169686493684E+02
  0.144513273239E+01  0.156911105202E+02  0.171384149070E+02
  0.150796461105E+01  0.167722240547E+02  0.172405264985E+02
  0.157079637051E+01  0.178576190875E+02  0.172746139188E+02
  0.163362824917E+01  0.189430161739E+02  0.172405426725E+02
  0.169646012783E+01  0.200241296873E+02  0.171384144596E+02
  0.175929200649E+01  0.210966929633E+02  0.169686486996E+02
  0.182212388515E+01  0.221564730811E+02  0.167318997853E+02
  0.188495564461E+01  0.231992856095E+02  0.164291335357E+02
  0.194778752327E+01  0.242210189963E+02  0.160615445447E+02
  0.201061940193E+01  0.252176389274E+02  0.156305520406E+02
  0.207345128059E+01  0.261852121961E+02  0.151378728382E+02
  0.213628315926E+01  0.271199202295E+02  0.145854513190E+02
  0.219911503792E+01  0.280180741590E+02  0.139754676400E+02
  0.226194691658E+01  0.288761293787E+02  0.133103291300E+02
  0.232477879524E+01  0.296906995337E+02  0.125926383386E+02
